foundation,grantee,state,city,grant_year,grant_allocation,grant_purpose,grantee_work
BCM,Covenant House,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Crossroads NOLA,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Daughters of Charity Health Centers,LA,New Orleans,2019,31224,Health Service Delivery Integration,
BCM,Family Service of GNO,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Foundation for Louisiana,LA,Baton Rouge,2019,475000,Improving the Quality of Programs,
BCM,Greater New Orleans Foundation,LA,New Orleans,2019,25000,Improving the Quality of Programs,
BCM,Institute of Women and Ethnic Studies,LA,New Orleans,2019,30000,Health Service Delivery Integration,
BCM,Israelite Baptist Church of New Orleans Louisiana,LA,New Orleans,2019,300,Criminal Justice System Alignment,
BCM,Jefferson Parish Human Services,LA,Metairie,2019,53085,Health Service Delivery Integration,
BCM,Jefferson Parish Public School System,LA,Harvey,2019,10500,Health Service Delivery Integration,
BCM,"Jewish Family Service of Greater New Orleans, Inc.",LA,Metairie,2019,3000,Criminal Justice System Alignment,
BCM,Louisiana Center for Children's Rights,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,"Louisiana Homebuyer Education Collaborative, Inc.",LA,New Orleans,2019,500,Criminal Justice System Alignment,
BCM,Lousiana Primary Care Association,LA,Baton Rouge,2019,59999,Health Service Delivery Integration,
BCM,Louisiana Public Health Institute,LA,New Orleans,2019,246627,Health Service Delivery Integration,
BCM,Mount Hermon Baptist Church,LA,New Orleans,2019,300,Criminal Justice System Alignment,
BCM,NAMI  St. Tammany,LA,New Orleans,2019,3500,Criminal Justice System Alignment,
BCM,New Life Fellowship Teaching Ministries,LA,Waggaman ,2019,300,Criminal Justice System Alignment,
BCM,New Orleans Police and Justice Foundation,LA,New Orleans,2019,4250,Criminal Justice System Alignment,
BCM,Nonprofit Knowledge Works,LA,New Orleans,2019,90000,Opportunity Youth Supports,
BCM,Orleans Parish School Board,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Pure Light Baptist Church of New Orleans,LA,New Orleans,2019,300,Criminal Justice System Alignment,
BCM,Silence is Violence,LA,New Orleans,2019,3500,Criminal Justice System Alignment,
BCM,Southeast Louisiana Legal Services,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Total Community Action,LA,New Orleans,2019,12000,Criminal Justice System Alignment,
BCM,Administrators for the Tulane Edu Fund,LA,New Orleans,2019,60000,Opportunity Youth Supports,
BCM,United Way of Southeast Louisiana,LA,New Orleans,2019,25000,Criminal Justice System Alignment,
BCM,VIA Link,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Vietnamese Initiatives in Economic Training,LA,New Orleans,2019,500,Criminal Justice System Alignment,
BCM,Youth Empowerment Project,LA,New Orleans,2019,3000,Criminal Justice System Alignment,
BCM,Youth Services Bureau of St. Tammany,LA,New Orleans,2019,3500,Criminal Justice System Alignment,
GNOF,Women's Health Center of West Virginia,WV,Charleston,2018,10000,Health,
GNOF,Operation Smile,VA,Virginia Beach,2018,74100,Health,
GNOF,Water Environment Federation,VA,Alexandria,2018,37500,Environment,
GNOF,St. Francis of Assisi Catholic Parish,VA,Staunton,2018,20000,Society,
GNOF,Washington and Lee University,VA,Lexington,2018,18750,Education,
GNOF,Global Camps Africa,VA,Reston,2018,10000,Society,
GNOF,University of Virginia,VA,Charlottesville,2018,5600,Education,
GNOF,Jefferson Scholars Foundation,VA,Charlottesville,2018,5000,Education,
GNOF,"Riverside School, Inc.",VA,North Chesterfield,2018,5000,Education,
GNOF,Virginia Episcopal School,VA,Lynchburg,2018,5000,Education,
GNOF,Americans for Prosperity Foundation,VA,Arlington,2018,5000,Civic Engagement,
GNOF,Jewish Family Service of Dallas,TX,Dallas,2018,15000,Society,
GNOF,Texas Organizing Project Education Fund,TX,San Antonio,2018,11293,Society,
GNOF,Austin Presbyterian Theological Seminary,TX,Austin,2018,10000,Society,
GNOF,Beyond Batten Disease Foundation,TX,Austin,2018,10000,Health,
GNOF,Texas Rio Grande Legal Aid - Austin,TX,Austin,2018,10000,Society,
GNOF,St. Mattias The Apostle Catholic Church,TX,Magnolia,2018,8400,Society,
GNOF,"Remote Area Medical, Inc.",TN,Rockford,2018,74100,Health,
GNOF,St. Jude Children's Research Hospital ,TN,Memphis,2018,9704,Health,
GNOF,University of the South,TN,Sewanee,2018,5000,Education,
GNOF,Christ School,NC,Arden,2018,61000,Education,
GNOF,Moms Against Fluoridation,NC,Asheville,2018,10000,Health,
GNOF,North Carolina Community Foundation,NC,Raleigh,2018,10000,Society,
GNOF,Presbyterian Heritage Center,NC,Montreat,2018,10000,Society,
GNOF,Montreat Conference Center,NC,Montreat,2018,8000,Society,
GNOF,Black Mountain Presbyterian Church,NC,Black Mountain,2018,5000,Society,
GNOF,Hancock County Alliance for Health,MS,Bay St. Louis,2018,30000,Health,
GNOF,Emerging Philanthropists of New Orleans,LA ,New Orleans,2018,80000,Society,
GNOF,Greater New Orleans Fair Housing Action Center,LA ,New Orleans,2018,6179,Society,
GNOF,America's Wetland Foundation,LA,Baton Rouge,2018,2260500,Environment,
GNOF,Ochsner Clinic Foundation,LA,New Orleans,2018,1385139,Health,
GNOF,Catholic Charities Archdiocese of New Orleans,LA,New Orleans,2018,576501,Society,
GNOF,United Way of Southeast Louisiana,LA,New Orleans,2018,521192,Society,
GNOF,Sexual Trauma Awareness and Response Center,LA,Baton Rouge,2018,356518,Society,
GNOF,Ogden Museum of Southern Art,LA,New Orleans,2018,353145,Arts Culture,
GNOF,New Orleans Opera Association,LA,New Orleans,2018,339551,Arts Culture,
GNOF,Louise S. McGehee School,LA,New Orleans,2018,335799,Education,
GNOF,Isidore Newman School,LA,New Orleans,2018,292464,Education,
GNOF,Lousiana Philharmonic Orchestra,LA,New Orleans,2018,285213,Arts Culture,
GNOF,Youth Empowerment Project,LA,New Orleans,2018,284295,Society,
GNOF,New Orleans Museum of Art,LA,New Orleans,2018,258487,Arts Culture,
GNOF,Youthforce NOLA,LA,New Orleans,2018,250000,Education,
GNOF,Collegiate Academies,LA,New Orleans,2018,245688,Education,
GNOF,Tulane University ,LA,New Orleans,2018,234842,Education,
GNOF,Friends of City Park,LA,New Orleans,2018,233896,Society,
GNOF,St. Tammany Humane Society,LA,New Orleans,2018,228973,Animals,
GNOF,St. Michael's Special School ,LA,New Orleans,2018,228973,Education,
GNOF,Educate Now DBA Youthforce NOLA,LA,New Orleans,2018,225509,Education,
GNOF,Louisiana Children's Museum,LA,New Orleans,2018,212709,Arts Culture,
GNOF,Water Institute of the Gulf,LA,Baton Rouge,2018,200000,Environment,
GNOF,YMCA of Greater New Orleans,LA,Metairie,2018,194593,Human Services,
GNOF,Trinity Episcopal Church,LA,New Orleans,2018,185730,Society,
GNOF,Bridge House,LA,New Orleans,2018,174768,Society,
GNOF,Jewish Federation pof Greater New Orleans,LA,Metairie,2018,174723,Society,
GNOF,Lousiana SPCA,LA,New Orleans,2018,167182,Animals,
GNOF,Covenant House ,LA,New Orleans,2018,151265,Society,
GNOF,Grow Dat Youth Farm,LA,New Orleans,2018,146633,Society,
GNOF,Central City Renaissance Alliance,LA,New Orleans,2018,136500,Society,
GNOF,River Parishes CDC,LA,Norco,2018,134064,Society,
GNOF,Academy of the Sacred Heart,LA,New Orleans,2018,133540,Education,
GNOF,Luke's House,LA,New Orleans,2018,129779,Health,
GNOF,New Orleans Recreation Development Foundation,LA,New Orleans,2018,128616,Society,
GNOF,Rising Foundations,LA,New Orleans,2018,125941,Society,
GNOF,"Good Shepherd Nativity Mission School, Inc. ",LA,New Orleans,2018,125000,Education,
GNOF,New Orleans Police and Justice Foundation,LA,New Orleans,2018,118748,Society,
GNOF,WWNO Radio,LA,New Orleans,2018,115695,Arts Culture,
GNOF,Audubon Nature Institute,LA,New Orleans,2018,115411,Environment,
GNOF,Terrebonne Foundation for Academic Excellence,LA,Houma,2018,114270,Education,
GNOF,Second Harvest Food Bank of GNO,LA,New Orleans,2018,111035,Health,
GNOF,New Orleans Women and Children's Shelter,LA,New Orleans,2018,102623,Society,
GNOF,Loyola University,LA,New Orleans,2018,102324,Education,
GNOF,Propeller: A Force for Social Innovation,LA,New Orleans,2018,99343,Civic Engagement,
GNOF,Gleason Initiative Foundation,LA,New Orleans,2018,98156,Health,
GNOF,Kingsley House,LA,New Orleans,2018,97065,Society,
GNOF,Advocates for Academic Excellence,LA,New Orleans,2018,96555,Education,
GNOF,The Good Shepherd Nativity School ,LA,New Orleans,2018,94900,Education,
GNOF,Committee for a Better New Orleans,LA,New Orleans,2018,93233,Society,
GNOF,Metairie Park Country Day School,LA,New Orleans,2018,90396,Education,
GNOF,Café Reconcile,LA,New Orleans,2018,90134,Society,
GNOF,Jesuit High School,LA,New Orleans,2018,89572,Education,
GNOF,Ozanam Inn,LA,New Orleans,2018,85644,Society,
GNOF,Teach for America - GNO,LA,New Orleans,2018,85496,Education,
GNOF,Rayne Memorial United Methodist Church,LA,New Orleans,2018,83548,Society,
GNOF,Liberty's Kitchen,LA,New Orleans,2018,81237,Society,
GNOF,Le Petit Theatre du Vieux Carre,LA,New Orleans,2018,81130,Arts Culture,
GNOF,Trinity Episcopal School,LA,New Orleans,2018,80679,Education,
GNOF,Greater No EducTV Foundation,LA,New Orleans,2018,78116,Society,
GNOF,Isidore Newman School ,LA,New Orleans,2018,76429,Education,
GNOF,"NewCorp, Inc.",LA,New Orleans,2018,75403,Society,
GNOF,Foundation for Science & Mathematics,LA,New Orleans,2018,74236,Education,
GNOF,St. Martin's Episcopal School,LA,Metairie,2018,73686,Education,
GNOF,St. Charles Avenue Presbyterian Church,LA,New Orleans,2018,73598,Education,
GNOF,Orleans Public Defenders,LA,New Orleans,2018,72249,Society,
GNOF,University of Louisiana at Lafayette Foundation,LA,New Orleans,2018,70867,Education,
GNOF,Children's Hospital,LA,New Orleans,2018,69735,Health,
GNOF,Trinity Christian Community,LA,New Orleans,2018,68969,Society,
GNOF,Metropolitan Crime Commission of New Orleans,LA,New Orleans,2018,67960,Society,
GNOF,Holy Name of Jesus Parish,LA,New Orleans,2018,66850,Society,
GNOF,Tulane University School of Medicine,LA,New Orleans,2018,65436,Education,
GNOF,St. George's Episcopal School,LA,New Orleans,2018,65126,Education,
GNOF,The Nocca Institute,LA,New Orleans,2018,65126,Education,
GNOF,Delgado Community College,LA,New Orleans,2018,63236,Education,
GNOF,Tulane Institute on Water Resources Law & Policy ,LA,New Orleans,2018,63108,Environment,
GNOF,Pro Bono Publico Foundation,LA,New Orleans,2018,62000,Society,
GNOF,Orelans Public Education Network,LA,New Orleans,2018,61677,Education,
GNOF,University of Holy Cross,LA,New Orleans,2018,60034,Education,
GNOF,New Orleans School of Glassworkds,LA,New Orleans,2018,60000,Arts Culture,
GNOF,National Audubon Society,LA,New Orleans,2018,56683,Environment,
GNOF,Start the Adventure in Reading,LA,New Orleans,2018,55221,Education,
GNOF,The Roots of Music,LA,New Orleans,2018,53521,Arts Culture,
GNOF,"F&L Organizational Support Services, Inc. ",LA,New Orleans,2018,50708,Society,
GNOF,New Orleans Culinary & Hospitality,LA,New Orleans,2018,50000,Education,
GNOF,New Orleans Military and Maritime Academy,LA,New Orleans,2018,50000,Education,
GNOF,Seasons Grief Center,LA,Metairie,2018,50000,Society,
GNOF,"Total Community Action, Inc. ",LA,New Orleans,2018,50000,New Orleans,
GNOF,NAMI New Orleans,LA,New Orleans,2018,49889,Health,
GNOF,Southern Repertory Theatre,LA,New Orleans,2018,49733,Arts Culture,
GNOF,"National WWII Museum, Inc.",LA,New Orleans,2018,49517,Arts Culture,
GNOF,Xavier University of Louisiana,LA,New Orleans,2018,49503,Education,
GNOF,Children's Bureau of New Orleans,LA,New Orleans,2018,49318,Society,
GNOF,Market Umbella,LA,New Orleans,2018,49043,Society,
GNOF,Gulf Restoration Network,LA,New Orleans,2018,49004,Environment,
GNOF,Silverback Society,LA,New Orleans,2018,48979,Society,
GNOF,Heartgift Foundation,LA,New Orleans,2018,48727,Health,
GNOF,Eden House,LA,New Orleans,2018,47353,Society,
GNOF,American Heart Association,LA,Metairie,2018,47100,Health,
GNOF,Boys Hope Girls Hope,LA,New Orleans,2018,46804,Society,
GNOF,"First Grace Community Alliance, Inc.",LA,New Orleans,2018,46500,Society,
GNOF,"Efforts of Grace, Inc.",LA,New Orleans,2018,46110,Arts Culture,
GNOF,Terrebonne Foundation for Academic Excellence in Public Education,LA,Houma,2018,45715,Education,
GNOF,Health & Education Alliance of Louisiana,LA,New Orleans,2018,45207,Health,
GNOF,Southern Animal Foundation,LA,New Orleans,2018,44793,Animals,
GNOF,Stuart Hall School,LA,New Orleans,2018,44464,Education,
GNOF,Woodlands Conservancy,LA,New Orleans,2018,43673,Environment,
GNOF,Ellis Marsalis Center for Music,LA,New Orleans,2018,42469,Society,
GNOF,New Orleans Mission,LA,New Orleans,2018,42242,Society,
GNOF,Louisiana Center for Children's Rights,LA,New Orleans,2018,42011,Society,
GNOF,Green Light New Orleans,LA,New Orleans,2018,41817,Environment,
GNOF,Youth Run NOLA,LA,New Orleans,2018,41811,Society,
GNOF,LSU Healt Sciences Center Foundation,LA,New Orleans,2018,41800,New Orleans,
GNOF,Bricolage Academy,LA,New Orleans,2018,41497,Education,
GNOF,St. Augustine High School,LA,New Orleans,2018,40560,Education,
GNOF,Hogs Rescue,LA,New Orleans,2018,40000,Society,
GNOF,NOLA Wesley United Methodist,LA,New Orleans,2018,40000,Society,
GNOF,New Orleans Speech and Hearing Center,LA,New Orleans,2018,39901,Society,
GNOF,Planned Parenthood Gulf Coast,LA,New Orleans,2018,39325,Health,
GNOF,Center for Development & Learning,LA,Metairie,2018,39057,Education,
GNOF,New Orleans College Prep,LA,New Orleans,2018,38711,Education,
GNOF,Jewish Endowment Foundation,LA,New Orleans,2018,38390,Society,
GNOF,Via Link,LA,New Orleans,2018,37642,Society,
GNOF,Bright School for the Deaf,LA,New Orleans,2018,37008,Education,
GNOF,Deutsches Haus,LA,New Orleans,2018,36213,Arts Culture,
GNOF,St. Andrew's Episcopal School,LA,New Orleans,2018,36125,Education,
GNOF,The Bayou District Foundation,LA,New Orleans,2018,36041,Society,
GNOF,Friends of the Fisher House of Southern Louisiana,LA,New Orleans,2018,36000,Society,
GNOF,"The IDEA Village, Inc.",LA,New Orleans,2018,35587,Society,
GNOF,No/AIDS Task Force,LA,New Orleans,2018,35497,Health,
GNOF,"Communities in Schools of GNO, Inc.",LA,New Orleans,2018,35285,Education,
GNOF,Posse Foundation,LA,New Orleans,2018,34276,Education,
GNOF,Amistad Research Center,LA,New Orleans,2018,34179,Arts Culture,
GNOF,Live Oak Wilderness Camp,LA,New Orleans,2018,33640,Education,
GNOF,Jewish Family Service,LA,Metairie,2018,32870,Society,
GNOF,Coalition to Restore Coastal Louisiana,LA,New Orleans,2018,32777,Environment,
GNOF,New Orleans Botanical Garden,LA,New Orleans,2018,32712,Arts Culture,
GNOF,Friends of the New Orleans Fire Department,LA,New Orleans,2018,32400,Society,
GNOF,Uncommon Construction,LA,New Orleans,2018,32003,Society,
GNOF,Bounty & Soul,LA,New Orleans,2018,32000,Health,
GNOF,The First Tee of Greater New Orleans,LA,New Orleans,2018,31999,Society,
GNOF,New Orleans Airlift,LA,New Orleans,2018,31983,Arts Culture,
GNOF,New Orleans Family Justice Alliance,LA,New Orleans,2018,31855,Society,
GNOF,Boys & Girls Club of Southeast Louisiana,LA,New Orleans,2018,31841,Society,
GNOF,Touro Infirmary Foundation,LA,New Orleans,2018,31660,Health,
GNOF,Operation Spark,LA,New Orleans,2018,31516,Education,
GNOF,Jewish Community Day School,LA,New Orleans,2018,31188,Education,
GNOF,The Urban Conservancy,LA,New Orleans,2018,31145,Civic Engagement,
GNOF,Preservation Resource Center,LA,New Orleans,2018,30882,Society,
GNOF,KIPP New Olreans,LA,New Orleans,2018,30440,Education,
GNOF,Voice of the Ex-Offender (VOTE),LA,New Orleans,2018,30414,Society,
GNOF,Louisiana Green Corps,LA,New Orleans,2018,30096,Environment,
GNOF,New Orleans Chamber of Commerce Foundation,LA,New Orleans,2018,30000,Society,
GNOF,Norwegian Seamens Church of New Orleans,LA,New Orleans,2018,30000,Society,
GNOF,South Louisiana Economic Council,LA,Thibodaux,2018,30000,Society,
GNOF,Son of a Saint,LA,New Orleans,2018,29954,Society,
GNOF,Jericho Road Episcopal Housing,LA,New Orleans,2018,29861,Society,
GNOF,Unity of Greater New Orleans,LA,New Orleans,2018,29676,Society,
GNOF,College Track New Orleans,LA,New Orleans,2018,29497,Society,
GNOF,St. Francis of Assisi Church,LA,New Orleans,2018,29400,Society,
GNOF,"Merrie-Woode Foundation, Inc.",LA,Sapphire,2018,29200,Society,
GNOF,Arts Council of New Orleans,LA,New Orleans,2018,28948,Arts Culture,
GNOF,Birdfoot Chamber Music Festival,LA,New Orleans,2018,28876,Arts Culture,
GNOF,Zeus' Rescues,LA,New Orleans,2018,28691,Animals,
GNOF,Northlake Christian School,LA,Covington,2018,28549,Education,
GNOF,Lafourche Education Foundation,LA,Thibodaux,2018,28118,Education,
GNOF,Lower 9th Ward Center for Sustainable Engagement and Development ,LA,New Orleans,2018,27927,Environment,
GNOF,Coastal Communities Consulting ,LA,Gretna,2018,27826,Society,
GNOF,Wyes Channel 12,LA,New Orleans,2018,27500,Society,
GNOF,Urban League of Greater New Orleans,LA,New Orleans,2018,27110,Society,
GNOF,Loyola Law School,LA,New Orleans,2018,27063,Education,
GNOF,Anti-Defamation League,LA,Metairie,2018,26735,Society,
GNOF,"Spay-Mart, Inc.",LA,New Orleans,2018,26724,Society,
GNOF,Ursuline Academy,LA,New Orleans,2018,26073,Education,
GNOF,WRBH FM Radio for the Bline/Print Hanidcapped,LA,New Orleans,2018,26073,Society,
GNOF,Dancing Grounds,LA,New Orleans,2018,25656,Arts Culture,
GNOF,Harmony Neighborhood Development,LA,New Orleans,2018,25464,Society,
GNOF,College Beyond,LA,New Orleans,2018,25173,Education,
GNOF,New Orleans Startup Fund,LA,New Orleans,2018,25010,Society,
GNOF,Bato Rouge Area Foundation,LA,Baton Rouge,2018,25000,Society,
GNOF,Category 5 Wetlands Watch,LA,New Orleans,2018,25000,Environment,
GNOF,Lousiana Environmental Action Network,LA,Baton Rouge,2018,25000,Environment,
GNOF,New Orleans Tall Ships Tri-Centennial Host Committee,LA,New Orleans,2018,25000,Society,
GNOF,Metropolitan Center for Women and Children,LA,Jefferson,2018,24994,Society,
GNOF,"Animal Rescue New Orleans, Inc. ",LA,New Orleans,2018,24887,Animals,
GNOF,St. Bernard Project,LA,New Orleans,2018,24760,Society,
GNOF,Tulane Cancer Center,LA,New Orleans,2018,24300,Health,
GNOF,Tulane Law School,LA,New Orleans,2018,24200,Education,
GNOF,"Policy for the Children of LA, Inc.",LA,New Orleans,2018,24012,Society,
GNOF,LSU Health Foundation,LA,New Orleans,2018,23719,Health,
GNOF,Archbishop's Community Appeal,LA,New Orleans,2018,23544,Society,
GNOF,Ride NOLA,LA,New Orleans,2018,23423,Society,
GNOF,NOLA4Women,LA,New Orleans,2018,23404,Society,
GNOF,New Orleans Ballet Association,LA,New Orleans,2018,23395,Arts Culture,
GNOF,Dillard University,LA,New Orleans,2018,23042,Education,
GNOF,Teaching Responsible Earth Education,LA,New Orleans,2018,22970,Environment,
GNOF,Lighthouse Louisiana,LA,New Orleans,2018,22700,Society,
GNOF,South Louisiana Weland Discovery Center,LA,Houma,2018,22404,Environment,
GNOF,St. George's Episcopal Church,LA,New Orleans,2018,22369,Society,
GNOF,St. Pius X Church,LA,New Orleans,2018,22000,Society,
GNOF,Historic New Orleans Collection,LA,New Orleans,2018,21800,Arts Culture,
GNOF,University of New Orleans,LA,New Orleans,2018,21764,Education,
GNOF,United Houma Nation,LA,Golden Meadow,2018,21712,Arts Culture,
GNOF,Mid-City Ministries,LA,New Orleans,2018,21645,Society,
GNOF,Brother Martin High School,LA,New Orleans,2018,21447,Education,
GNOF,The New Orleans Film Society,LA,New Orleans,2018,21410,Arts Culture,
GNOF,Ecole Bilingue de la Nouvelle Orleans,LA,New Orleans,2018,21392,Education,
GNOF,The Chartwell Consortium,LA,New Orleans,2018,21288,Education,
GNOF,New Orleans Council on Aging,LA,New Orleans,2018,21167,Society,
GNOF,St. Rita School New Orleans,LA,New Orleans,2018,21000,Education,
GNOF,Jefferson Council on Aging,LA,Metairie,2018,20675,Society,
GNOF,Kid Smart,LA,New Orleans,2018,20550,Arts Culture,
GNOF,City Year Louisiana,LA,New Orleans,2018,20439,Society,
GNOF,The Salvation Army,LA,New Orleans,2018,20193,Society,
GNOF,Casa Jefferson,LA,Metairie,2018,20188,Society,
GNOF,4Point0 Schools,LA,New Orleans,2018,20000,Education,
GNOF,Education's Next Horizon,LA,Baton Rouge,2018,20000,Education,
GNOF,Interfaith Sponsoring Committee,LA,Houma,2018,20000,Society,
GNOF,Matthew 25:35 Food Pantry,LA,Destrehan,2018,20000,Health,
GNOF,Raintree Services,LA,New Orleans,2018,19977,Society,
GNOF,"Hope the Premier Way, Inc.",LA,New Orleans,2018,19867,Health,
GNOF,St. Paul's Episcopal School,LA,New Orleans,2018,19621,Education,
GNOF,Lake Pontchartrain Basin Foundation,LA,Metairie,2018,19603,Environment,
GNOF,Kinship Center,LA,New Orleans,2018,19300,Society,
GNOF,Ella Project,LA,New Orleans,2018,19298,Arts Culture,
GNOF,5116 Magazine Street Preparatory High School,LA,New Orleans,2018,18908,Education,
GNOF,The Lens,LA,New Orleans,2018,18588,Civic Engagement,
GNOF,Hillel the Foundation for Jewis Campus Life,LA,New Orleans,2018,18512,Society,
GNOF,Friends of the New Orleans Public Library,LA,New Orleans,2018,18001,Education,
GNOF,Cops 8 Inc.,LA,New Orleans,2018,18000,Society,
GNOF,Boy Scouts of America SE Louisiana,LA,Metairie,2018,17922,Society,
GNOF,Bike Easy,LA,New Orleans,2018,17598,Civic Engagement,
GNOF,Mount Carmel Academy,LA,New Orleans,2018,17472,Education,
GNOF,Southern University of New Orleans,LA,New Orleans,2018,17296,Education,
GNOF,Crescent City Schools,LA,New Orleans,2018,17235,Education,
GNOF,New Orleans Worker Center,LA,New Orleans,2018,16909,Arts Culture,
GNOF,Lycoe Francais de la Nouvell-Orleans,LA,New Orleans,2018,16766,Education,
GNOF,Music and Culture Coalition of New Orleans,LA,New Orleans,2018,16766,Arts Culture,
GNOF,New Orleans Friends of Music,LA,New Orleans,2018,16705,Arts Culture,
GNOF,Big Class,LA,New Orleans,2018,16552,Education,
GNOF,International School of Louisiana,LA,New Orleans,2018,16436,Education,
GNOF,WWOZ,LA,New Orleans,2018,16436,Education,
GNOF,Family Service of Greater New Orleans,LA,New Orleans,2018,16325,Society,
GNOF,Junior Achievement of Greater New Orleans,LA,New Orleans,2018,16232,Society,
GNOF,Rebuilding Together New Orleans,LA,New Orleans,2018,16112,Society,
GNOF,Tennessee Wiliams/New Orleans Literary Festival,LA,New Orleans,2018,16050,Arts Culture,
GNOF,Groundwork New Orleans,LA,New Orleans,2018,16050,Environment,
GNOF,New Orleans Jazz Restoration Society,LA,New Orleans,2018,16000,Arts Culture,
GNOF,Plaquemines Community Care Centers,LA,Belle Chasse,2018,15882,Society,
GNOF,Daughters of Charity,LA,New Orleans,2018,15851,Health,
GNOF,Firstline Schools,LA,New Orleans,2018,15721,Education,
GNOF,De La Salle High School,LA,New Orleans,2018,15504,Education,
GNOF,Discovery Health Sciences,LA,Metairie,2018,15401,Education,
GNOF,Bureau of Governmental Research,LA,New Orleans,2018,15293,Society,
GNOF,Clearwater Wildlife Sanctuary,LA,Covington,2018,15258,Animals,
GNOF,Nicholls State University,LA,Thibodaux,2018,15204,Education,
GNOF,Shared Housing of New Orleans,LA,New Orleans,2018,15173,Society,
GNOF,People's Institute for Survival & Beyond,LA,New Orleans,2018,15153,Society,
GNOF,Greater Treme Consortium,LA,New Orleans,2018,15000,Society,
GNOF,Mary Queen Viet Nam Community Development Corporation,LA,New Orleans,2018,15000,Society,
GNOF,Neighborhood Housing Services of GNO,LA,New Orleans,2018,15000,Society,
GNOF,Science Teachers Equipment Lending Library,LA,New Orleans,2018,15000,Society,
GNOF,Terrebonne Arc,LA,Houma,2018,15000,Society,
GNOF,Sankofa Community Development Corporation,LA,New Orleans,2018,14978,Society,
GNOF,Greater New Orleans Youth Orchestra,LA,New Orleans,2018,14929,Arts Culture,
GNOF,Friends of Lafitte Corridor ,LA,New Orleans,2018,14891,Society,
GNOF,Greater New Orleans Development Foundation,LA,New Orleans,2018,14510,Civic Engagement,
GNOF,Thrive New Orleans,LA,New Orleans,2018,14438,Society,
GNOF,Cypress Charter School Assocation,LA,New Orleans,2018,14382,Education,
GNOF,Hotel Hope,LA,New Orleans,2018,14290,Society,
GNOF,Dominican Sisters of Peace - Peace Center ,LA,New Orleans,2018,13947,Society,
GNOF,Tipitina's Foundation,LA,New Orleans,2018,13905,Arts Culture,
GNOF,The First 72+,LA,New Orleans,2018,13886,Society,
GNOF,Loop NOLA,LA,New Orleans,2018,13704,Society,
GNOF,International High School of New Orleans,LA,New Orleans,2018,13676,Education,
GNOF,What You Give Will Grow,LA,New Orleans,2018,13558,Society,
GNOF,Upturn Arts,LA,New Orleans,2018,13303,Society,
GNOF,United Way for South Louisiana,LA,Houma,2018,13299,Society,
GNOF,Hope Restored for Life,LA,Houma,2018,13274,Society,
GNOF,Ministry against the Death Penalty,LA,New Orleans,2018,13180,Education,
GNOF,Magnolia Community Services,LA,Jefferson,2018,13177,Education,
GNOF,Foundation for Louisiana,LA,Baton Rouge,2018,13140,Society,
GNOF,Louisiana Endowment for the Humanities,LA,New Orleans,2018,13062,Arts Culture,
GNOF,New Orleans Video Access Center,LA,New Orleans,2018,13011,Civic Engagement,
GNOF,Please Foundation,LA,Metairie,2018,13008,Society,
GNOF,Advocates for Science and Math,LA,New Orleans,2018,13000,Education,
GNOF,Antenna/Press Street ,LA,New Orleans,2018,12844,Arts Culture,
GNOF,Project Lazarus,LA,New Orleans,2018,12603,Health,
GNOF,St. Mattews Episcopal Church,LA,Houma,2018,12600,Society,
GNOF,Ubuntu Village,LA,New Orleans,2018,12583,Society,
GNOF,St. Peter Claver Foundation,LA,New Orleans,2018,12526,Society,
GNOF,Crossroads Pregnancy Resource,LA,Thibodaux,2018,12500,Health,
GNOF,Lusher Charter School,LA,New Orleans,2018,12415,Education,
GNOF,Norco Elementary School,LA,Norco,2018,12400,Education,
GNOF,Filipino-American Lions Club of New Orleans,LA,Kenner,2018,12390,Society,
GNOF,100 Black Men of Metro New Orleans,LA,New Orleans,2018,12364,Society,
GNOF,"MacDonnell Childrens Services, Inc.",LA,Houma,2018,12303,Society,
GNOF,Leukemia and Lymphoma Society,LA,Metairie,2018,12238,Health,
GNOF,YWCA of Greater New Orleans,LA,New Orleans,2018,12164,Society,
GNOF,Top Box Foods,LA,New Orleans,2018,12031,Society,
GNOF,Bethany Lutheran Church,LA,Slidell,2018,12000,Society,
GNOF,Innocence Project New Orleans,LA,New Orleans,2018,12000,Society,
GNOF,Jewish Children's Regional Service,LA,Metairie,2018,11685,Society,
GNOF,Metropolitan Safety Council of New Orleans,LA,Metairie,2018,11609,Society,
GNOF,Café Hope,LA,Marrero,2018,11546,Society,
GNOF,Louisiana Parole Project,LA,Baton Rouge,2018,11546,Society,
GNOF,Hogs for the Cause,LA,New Orleans,2018,11500,Society,
GNOF,Women's National Book Association of New Orleans,LA,New Orleans,2018,11482,Arts Culture,
GNOF,Louisiana Association of Public Charter Schools,LA,New Orleans,2018,11478,Education,
GNOF,St. Edward the Confessor Catholic Church,LA,Metairie,2018,11346,Society,
GNOF,St. Vincent de Paul Triparish,LA,Houma,2018,11315,Health,
